,popularity,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,valence,music_genre
29610,58.0,0.0915,0.742,219802.0,0.6890000000000001,0.0,A#,0.0768,-5.812,minor,0.281,121.982,0.207,rap
33049,37.0,0.98,0.691,176627.0,0.0958,1.6100000000000002e-05,C#,0.0931,-13.9,minor,0.143,101.574,0.519,blues
16599,51.0,0.5489999999999999,0.68,230540.0,0.241,2.54e-05,F#,0.222,-11.448,minor,0.247,127.908,0.211,alternative
21724,36.0,0.903,0.636,141120.0,0.39,4.43e-06,E,0.16,-10.068,major,0.0279999999999999,102.091,0.472,country
24977,53.0,0.00783,0.612,161160.0,0.794,2.27e-06,D,0.416,-4.57,major,0.0424,115.936,0.8059999999999999,country
33596,41.0,0.5,0.564,303947.0,0.7659999999999999,0.654,A,0.0731,-9.237,major,0.0794,172.332,0.902,blues
9462,47.0,0.000172,0.499,-1.0,0.935,0.17,E,0.0487,-4.293,major,0.0434,89.495,0.557,anime
45082,69.0,0.139,0.534,208373.0,0.7829999999999999,0.0,C#,0.0831,-4.013,major,0.261,69.71600000000001,0.3339999999999999,hip-hop
5506,25.0,0.147,0.508,145707.0,0.498,0.872,F,0.121,-11.106,major,0.0363,119.952,0.284,anime
32446,31.0,0.547,0.529,155040.0,0.526,5.05e-06,A,0.0919,-8.558,major,0.0358,185.54,0.925,blues
3032,41.0,0.662,0.529,229454.0,0.509,0.498,E,0.304,-9.602,minor,0.236,119.95296059529068,0.397,electronic
1145,40.0,0.103,0.723,173687.0,0.432,0.218,C#,0.0883,-7.891,major,0.418,119.95296059529068,0.711,electronic
28487,49.0,0.546,0.5660000000000001,196272.0,0.7879999999999999,0.0,G,0.0997,-8.025,major,0.371,128.216,0.5329999999999999,rap
34250,27.0,0.038,0.306,377200.0,0.687,0.00123,A,0.487,-12.199000000000002,major,0.0463,119.95296059529068,0.6809999999999999,blues
13821,45.0,0.679,0.422,230286.0,0.357,2.49e-05,D,0.129,-9.647,minor,0.0351,79.801,0.41,jazz
3997,29.0,0.118,0.784,413973.0,0.491,0.907,D#,0.0772,-9.327,minor,0.0829,105.036,0.918,electronic
4299,37.0,0.379,0.6829999999999999,221765.0,0.6920000000000001,6.19e-05,B,0.391,-6.651,major,0.128,101.998,0.621,electronic
42042,0.0,0.905,0.376,286467.0,0.174,0.0,C#,0.156,-20.527,major,0.0888,135.987,0.236,classical
47619,49.0,0.304,0.512,281720.0,0.764,0.0,C#,0.2739999999999999,-5.085,minor,0.246,165.831,0.698,hip-hop
41346,52.0,0.291,0.315,283693.0,0.5539999999999999,0.0,A,0.255,-7.739,minor,0.0337,118.145,0.201,classical
22792,41.0,0.00474,0.317,188667.0,0.621,0.000185,B,0.108,-4.387,major,0.0337,158.006,0.127,country
37056,61.0,0.2319999999999999,0.58,309034.0,0.3979999999999999,8.28e-06,A,0.0809,-7.71,major,0.0314,120.039,0.15,rock
13093,34.0,0.062,0.643,198133.0,0.7290000000000001,0.494,A,0.0457,-10.172,major,0.0461,130.308,0.846,jazz
9552,13.0,0.0899,0.483,-1.0,0.6729999999999999,0.777,C#,0.103,-7.707000000000001,major,0.0659,149.984,0.916,anime
498,40.0,0.000512,0.6920000000000001,236719.0,0.879,0.445,D,0.118,-4.697,major,0.0303,128.004,0.0859,electronic
45510,60.0,0.0487,0.865,163824.0,0.612,0.0,E,0.157,-6.316,major,0.384,165.023,0.607,hip-hop
26320,53.0,0.36,0.6,271246.0,0.619,4.31e-05,A,0.106,-9.709,minor,0.2019999999999999,103.908,0.308,rap
14875,30.0,0.336,0.7490000000000001,-1.0,0.853,0.804,G,0.0849,-8.945,major,0.0426,154.032,0.856,jazz
42896,30.0,0.855,0.518,178293.0,0.354,0.0195,G,0.132,-21.282,major,0.0428,100.804,0.933,classical
22674,43.0,0.726,0.484,215240.0,0.434,0.0,C#,0.0941,-6.931,major,0.0357,119.95296059529068,0.26,country
12639,18.0,0.46,0.337,660136.0,0.415,0.0601,F,0.105,-10.336,minor,0.0355,124.943,0.291,jazz
6054,26.0,0.0036899999999999,0.361,158107.0,0.958,0.0001699999999999,B,0.32,-2.638,major,0.106,144.931,0.239,anime
46097,66.0,0.364,0.752,197600.0,0.584,0.017,G,0.1969999999999999,-10.634,major,0.275,94.918,0.264,hip-hop
9607,25.0,0.00365,0.573,222533.0,0.931,7.950000000000001e-05,D,0.1009999999999999,-2.247,minor,0.0523,152.931,0.314,anime
37939,73.0,0.797,0.292,201373.0,0.324,0.000473,D#,0.12,-11.996,major,0.0346,176.63099999999997,0.384,rock
27942,49.0,0.0146,0.708,291173.0,0.655,2.74e-06,D,0.287,-8.142000000000001,minor,0.362,74.945,0.3829999999999999,rap
24951,35.0,0.1009999999999999,0.442,249840.0,0.447,0.0,C,0.0962,-8.838,major,0.0252,149.65200000000002,0.16,country
12720,41.0,0.974,0.612,339533.0,0.0108,0.00305,C#,0.292,-24.112,major,0.0601,94.636,0.428,jazz
4624,31.0,0.278,0.223,250293.0,0.365,0.424,A#,0.142,-10.265,major,0.0337,124.304,0.0365,electronic
1874,29.0,0.181,0.539,230800.0,0.737,0.000153,G#,0.111,-5.778,minor,0.0652,74.977,0.129,electronic
18568,45.0,0.0024,0.5329999999999999,247467.0,0.938,0.0,F,0.778,-3.28,major,0.2,129.93,0.357,alternative
38635,62.0,0.0513,0.395,211453.0,0.8959999999999999,0.00396,C#,0.14,-4.262,minor,0.0351,101.867,0.35,rock
41640,22.0,0.978,0.422,351920.0,0.235,0.939,C,0.105,-18.14,major,0.0406,86.611,0.2739999999999999,classical
20398,47.0,0.0277,0.653,226267.0,0.638,0.0,F#,0.318,-5.268,major,0.0238,102.961,0.421,country
40191,30.0,0.985,0.204,830703.0,0.066,0.885,F,0.0726,-24.892,major,0.0362,130.554,0.0325,classical
7313,23.0,0.0135,0.244,316280.0,0.857,0.0,A#,0.103,-3.834,minor,0.0877,119.95296059529068,0.446,anime
16031,50.0,0.0751,0.4529999999999999,232733.0,0.389,1.6899999999999997e-05,G,0.115,-7.769,major,0.0256,119.95296059529068,0.306,alternative
8128,33.0,0.487,0.562,151773.0,0.477,0.892,A,0.171,-10.685,major,0.0341,115.841,0.655,anime
4602,34.0,0.031,0.615,271187.0,0.772,7.42e-06,B,0.118,-4.604,minor,0.233,170.072,0.21,electronic
37834,68.0,0.256,0.51,179613.0,0.488,0.0,G,0.11,-10.304,major,0.0304,119.95296059529068,0.649,rock
41286,40.0,6.06e-05,0.409,335587.0,0.978,0.109,F#,0.442,-5.283,minor,0.12,140.072,0.166,classical
19496,56.0,0.29,0.6559999999999999,249293.0,0.7070000000000001,0.0,B,0.325,-4.203,minor,0.0692,119.95296059529068,0.638,alternative
46678,51.0,0.325,0.612,168947.0,0.389,4.23e-05,A,0.236,-10.69,minor,0.0666,126.005,0.212,hip-hop
22514,50.0,0.013,0.721,262760.0,0.944,0.0,G#,0.32,-5.982,major,0.159,85.00200000000001,0.626,country
32950,36.0,0.847,0.465,131200.0,0.431,0.0,G,0.36,-10.847,major,0.0304,93.981,0.74,blues
49969,47.0,0.0127,0.706,-1.0,0.787,0.0,A,0.265,-5.314,major,0.0888,85.963,0.243,hip-hop
15058,49.0,0.868,0.561,224698.0,0.282,0.529,C,0.11,-13.241,major,0.0286,112.011,0.158,alternative
38289,73.0,0.583,0.858,166280.0,0.544,0.00109,C,0.0707,-9.289,major,0.0751,108.217,0.8740000000000001,rock
31561,42.0,0.0215,0.4539999999999999,332500.0,0.883,0.00245,D#,0.2019999999999999,-7.986000000000001,major,0.0546,133.907,0.356,blues
36946,53.0,0.775,0.435,-1.0,0.384,0.92,A,0.119,-14.024,major,0.0289,159.092,0.171,rock
22913,49.0,0.142,0.637,126467.0,0.821,0.0349,B,0.261,-5.065,minor,0.0342,104.34,0.7340000000000001,country
4365,28.0,0.066,0.857,212276.0,0.978,0.0712,D,0.108,0.6809999999999999,major,0.374,145.031,0.389,electronic
35012,57.0,0.0412,0.52,270000.0,0.8270000000000001,0.0235,A#,0.0999,-7.225,minor,0.0514,101.99,0.411,rock
33423,23.0,0.0461,0.511,286627.0,0.936,0.446,G,0.708,-7.907,major,0.0348,129.625,0.894,blues
32380,31.0,0.00966,0.693,206613.0,0.835,1.68e-06,C,0.0993,-2.863,major,0.0343,77.021,0.8759999999999999,blues
42654,32.0,0.904,0.138,200440.0,0.154,0.00237,A,0.266,-17.041,minor,0.0366,67.926,0.0861,classical
318,53.0,0.0125,0.465,230246.0,0.816,3.63e-05,A,0.0891,-3.399,major,0.0926,192.041,0.3429999999999999,electronic
33694,31.0,0.281,0.6940000000000001,198320.0,0.982,0.0,A,0.156,-4.013,minor,0.1369999999999999,126.16,0.602,blues
35858,50.0,0.499,0.509,238800.0,0.6809999999999999,5.36e-05,E,0.1,-10.659,major,0.0306,119.95296059529068,0.33,rock
47080,70.0,0.2789999999999999,0.7909999999999999,173154.0,0.473,0.0,A#,0.0959,-9.86,minor,0.25,95.948,0.603,hip-hop
35440,65.0,0.0673,0.63,175173.0,0.6920000000000001,0.0,B,0.2,-6.709,major,0.0606,119.972,0.593,rock
2979,33.0,0.0479,0.616,366002.0,0.517,0.726,A,0.14,-9.727,major,0.0365,146.11700000000002,0.258,electronic
34833,34.0,0.111,0.452,123760.0,0.574,0.0,A,0.0823,-7.936,major,0.0321,119.95296059529068,0.8109999999999999,blues
47632,50.0,0.0865,0.768,228983.0,0.6579999999999999,0.0,C#,0.0898,-8.242,major,0.266,132.035,0.3379999999999999,hip-hop
16525,52.0,0.00373,0.753,231053.0,0.609,0.0,C,0.347,-4.381,major,0.1169999999999999,140.304,0.439,alternative
47196,52.0,0.0242,0.846,275875.0,0.546,1.78e-06,C,0.106,-5.624,major,0.107,87.0,0.599,hip-hop
27271,63.0,0.29,0.435,237798.0,0.561,1.55e-06,G#,0.1969999999999999,-9.308,major,0.143,80.209,0.231,rap
46140,64.0,0.00231,0.653,228027.0,0.949,0.0,C#,0.41,-3.179,major,0.12,140.002,0.372,hip-hop
33488,28.0,0.939,0.639,228800.0,0.156,0.0009109999999999,G,0.144,-15.286,major,0.136,92.305,0.3279999999999999,blues
15098,55.0,0.00591,0.152,317440.0,0.795,0.0,D,0.273,-6.408,minor,0.0714,75.02,0.162,alternative
44341,46.0,0.993,0.242,237747.0,0.0962,0.897,A,0.085,-29.548,major,0.04,135.879,0.2289999999999999,classical
28891,54.0,0.354,0.54,229880.0,0.588,2.64e-06,D,0.118,-7.718999999999999,minor,0.0899,82.831,0.478,rap
7875,29.0,3.289999999999999e-05,0.3979999999999999,-1.0,0.899,0.7829999999999999,A#,0.335,-4.418,major,0.0464,150.013,0.373,anime
10845,47.0,0.255,0.8859999999999999,233440.0,0.591,0.0,A#,0.213,-12.323,minor,0.254,101.623,0.828,jazz
13549,38.0,0.000491,0.585,224520.0,0.883,0.0575,F,0.252,-4.968999999999999,minor,0.0294,113.389,0.934,jazz
36141,52.0,0.541,0.617,224186.0,0.421,0.00227,C,0.125,-14.231,major,0.0318,131.653,0.39,rock
24503,40.0,0.153,0.789,213800.0,0.72,3.71e-06,G,0.311,-6.296,major,0.0418,125.963,0.675,country
35990,71.0,0.16,0.5329999999999999,260173.0,0.637,1.12e-05,F#,0.369,-5.571000000000001,major,0.0323,140.167,0.292,rock
42837,20.0,0.987,0.1969999999999999,53627.0,0.158,0.873,C,0.143,-28.179,major,0.0329,166.084,0.242,classical
6255,29.0,0.995,0.537,-1.0,0.102,0.863,A,0.0829,-22.698,major,0.0539,98.768,0.158,anime
46692,53.0,0.06,0.768,-1.0,0.5710000000000001,1.56e-06,G#,0.254,-8.312000000000001,minor,0.162,91.485,0.351,hip-hop
15476,45.0,0.142,0.8809999999999999,211133.0,0.523,0.0,B,0.0771,-4.87,minor,0.3379999999999999,96.506,0.75,alternative
23087,49.0,0.271,0.314,216782.0,0.7040000000000001,0.0,A,0.0842,-4.521,major,0.0399,185.665,0.499,country
28497,62.0,0.0402,0.8540000000000001,241187.0,0.7090000000000001,0.0,A#,0.0901,-5.214,minor,0.105,119.95296059529068,0.4029999999999999,rap
3412,34.0,0.0139999999999999,0.349,219200.0,0.809,1.77e-05,F#,0.361,-4.198,minor,0.051,75.02199999999999,0.247,electronic
36640,51.0,0.00141,0.37,70805.0,0.659,0.875,C#,0.68,-4.981,major,0.0534,119.95296059529068,0.659,rock
29178,47.0,0.00894,0.758,302600.0,0.521,0.113,D#,0.301,-7.138,major,0.0408,140.134,0.0874,rap
39174,50.0,0.000866,0.445,271093.0,0.932,0.0,E,0.108,-4.739,major,0.316,113.945,0.51,rock
34372,35.0,0.00014,0.314,184307.0,0.983,0.000487,D,0.282,-3.228,major,0.12,184.084,0.516,blues
19002,54.0,0.351,0.271,246704.0,0.486,0.156,C,0.0894,-11.956,minor,0.0407,179.826,0.31,alternative
24117,39.0,0.426,0.737,200417.0,0.6890000000000001,0.0,B,0.356,-7.602,minor,0.1009999999999999,95.989,0.715,country
2122,26.0,0.364,0.306,-1.0,0.952,0.248,D,0.349,-3.542,minor,0.159,174.956,0.225,electronic
5397,46.0,0.00503,0.56,225677.0,0.961,0.0,F,0.094,-3.0780000000000003,major,0.042,119.95296059529068,0.77,anime
12581,46.0,0.706,0.429,341213.0,0.368,1.96e-06,G#,0.294,-14.071,major,0.0404,111.348,0.596,jazz
26986,56.0,0.00349,0.7709999999999999,-1.0,0.821,6.43e-05,B,0.108,-3.387,minor,0.192,113.971,0.507,rap
8041,21.0,0.261,0.251,237373.0,0.879,0.000455,A#,0.271,-6.591,minor,0.0752,93.138,0.386,anime
